simulation_id,location,altitude_m,latitude_deg,longitude_deg,length_m,width_m,height_m,floor_area_m2,volume_m3,orientation_deg,wall_material,wall_thickness_m,wall_insulation_material,wall_insulation_thickness_m,roof_material,roof_thickness_m,roof_insulation_material,roof_insulation_thickness_m,floor_material,floor_thickness_m,glazing_area_m2,glazing_ratio,glazing_type,window_orientation_deg,night_shutter,shutter_R_m2K_W,roof_emissivity,ach,occupants,internal_gain_W,heater_type,combustion_heater_present,capital_cost_inr,cost_basis,overall_U_value_W_m2K,overall_R_value_m2K_W,thermal_mass_J_K,air_pressure_Pa,air_density_kg_m3
SIM_000036,Kargil,2676.0,34.5539,76.1349,9.6,5.9,2.5,56.64,141.6,175.8,dense_concrete,0.28,none,0.0,pu_sandwich_panel,0.06,none,0.0,stone_floor,0.14,3.22,0.0415,single_pane,180.0,0,0.0,0.36,4.31,4,400.0,flued_stove,False,302958.0,SOURCED,2.6243,0.3811,65014644.6,73045.7,0.967
SIM_000037,Leh,3500.0,34.1526,77.5771,5.1,4.6,2.6,23.46,61.0,106.2,stone_masonry,0.2,rockwool,0.052,cgi_sheet,0.002,none,0.0,dense_concrete,0.22,3.64,0.0722,triple_pane,180.0,0,0.0,0.65,4.29,6,600.0,flued_stove,False,138519.0,SOURCED,2.5793,0.3877,31067681.0,65764.1,0.8706
SIM_000038,Dras,3280.0,34.4293,75.7533,9.9,3.1,3.0,30.69,92.07,193.7,stone_masonry,0.4,rockwool,0.05,cgi_sheet,0.002,none,0.0,stone_floor,0.19,1.36,0.0174,single_pane,180.0,1,0.5,0.87,0.31,12,1200.0,unflued_combustion,True,227047.0,SOURCED,2.47,0.4049,74660762.7,67647.9,0.8956
SIM_000039,Siachen,5400.0,35.4212,77.1095,4.2,4.5,2.8,18.9,52.92,187.0,pu_sandwich_panel,0.13,none,0.0,pu_sandwich_panel,0.1,none,0.0,stone_floor,0.17,4.5,0.0924,single_pane,180.0,0,0.0,0.84,0.99,2,200.0,none,False,156714.0,SOURCED,1.295,0.7722,7291431.6,51194.2,0.6777
SIM_000040,Daulat Beg Oldie,5065.0,35.4057,77.9297,7.7,5.3,2.5,40.81,102.03,352.9,dense_concrete,0.29,eps,0.139,cgi_sheet,0.002,rockwool,0.058,stone_floor,0.2,2.64,0.0406,triple_pane,180.0,1,0.5,0.48,0.5,13,1300.0,flued_stove,False,321456.0,SOURCED,1.3163,0.7597,59715465.9,53552.3,0.709
SIM_000041,Galwan,4300.0,34.75,78.25,7.1,5.6,2.6,39.76,103.38,241.0,dense_concrete,0.28,straw_bale,0.116,pu_sandwich_panel,0.09,none,0.0,stone_floor,0.21,2.71,0.041,double_pane,180.0,1,0.5,0.53,2.5,7,700.0,electric,False,303566.0,SOURCED,1.3036,0.7671,60263890.5,59268.2,0.7846
SIM_000042,Hanle,4500.0,32.7784,78.9642,5.3,4.0,3.1,21.2,65.72,48.6,pu_sandwich_panel,0.09,none,0.0,pu_sandwich_panel,0.07,none,0.0,stone_floor,0.17,5.33,0.0924,triple_pane,180.0,0,0.0,0.43,3.88,6,600.0,none,False,165953.0,SOURCED,1.1075,0.9029,8055824.0,57728.3,0.7642
SIM_000043,Nyoma,4180.0,33.1958,78.6508,9.6,4.7,3.1,45.12,139.87,163.7,stone_masonry,0.22,rockwool,0.069,cgi_sheet,0.002,rockwool,0.086,dense_concrete,0.2,0.54,0.0061,single_pane,180.0,1,0.5,0.58,0.94,2,200.0,none,False,253033.0,SOURCED,1.2314,0.8121,60689696.6,60207.9,0.7971
SIM_000044,Chushul,4350.0,33.5936,78.6543,5.5,6.0,2.5,33.0,82.5,175.7,dense_concrete,0.18,rockwool,0.13,concrete,0.13,rockwool,0.128,stone_floor,0.16,3.32,0.0577,triple_pane,180.0,1,0.5,0.52,1.35,9,900.0,electric,False,265313.0,SOURCED,1.2837,0.779,44036450.6,58880.1,0.7795
SIM_000045,Rezang La,5000.0,33.425,78.8472,7.9,4.7,3.1,37.13,115.1,70.2,stone_masonry,0.45,rockwool,0.112,concrete,0.11,none,0.0,stone_floor,0.13,3.32,0.0425,single_pane,180.0,1,0.5,0.67,2.35,5,500.0,none,False,296121.0,SOURCED,2.2633,0.4418,87930124.0,54019.9,0.7151
SIM_000046,Pangong,4250.0,33.7595,78.6674,8.8,4.9,3.1,43.12,133.67,151.0,dense_concrete,0.2,straw_bale,0.074,pu_sandwich_panel,0.13,none,0.0,stone_floor,0.16,7.41,0.0872,double_pane,180.0,0,0.0,0.76,3.34,1,100.0,unflued_combustion,True,319408.0,SOURCED,1.5115,0.6616,51880583.4,59658.3,0.7898
SIM_000047,Depsang,5330.0,35.3167,78.0167,7.3,4.3,3.0,31.39,94.17,202.9,pu_sandwich_panel,0.13,none,0.0,concrete,0.2,rockwool,0.036,dense_concrete,0.22,9.56,0.1374,triple_pane,180.0,0,0.0,0.2,2.45,8,800.0,electric,False,311282.0,SOURCED,1.1767,0.8498,30870144.2,51679.8,0.6842
SIM_000048,Kargil,2676.0,34.5539,76.1349,9.3,5.6,2.5,52.08,130.2,42.4,rammed_earth,0.47,rockwool,0.081,pu_sandwich_panel,0.13,none,0.0,dense_concrete,0.25,7.51,0.1008,triple_pane,180.0,0,0.0,0.46,0.58,5,500.0,unflued_combustion,True,393280.0,SOURCED,1.1828,0.8455,87344001.4,73045.7,0.967
SIM_000049,Leh,3500.0,34.1526,77.5771,8.4,3.4,2.5,28.56,71.4,198.6,rammed_earth,0.35,rockwool,0.084,concrete,0.19,rockwool,0.037,dense_concrete,0.19,0.51,0.0086,single_pane,180.0,0,0.0,0.74,2.73,2,200.0,none,False,180595.0,SOURCED,1.2937,0.773,62113318.5,65764.1,0.8706
SIM_000050,Dras,3280.0,34.4293,75.7533,7.9,5.9,2.4,46.61,111.86,124.4,mud_brick,0.22,rockwool,0.061,cgi_sheet,0.002,rockwool,0.057,stone_floor,0.17,0.6,0.0091,single_pane,180.0,0,0.0,0.44,2.86,12,1200.0,flued_stove,False,164293.0,SOURCED,1.5417,0.6486,39159560.4,67647.9,0.8956
SIM_000051,Siachen,5400.0,35.4212,77.1095,4.7,5.4,2.7,25.38,68.53,208.8,dense_concrete,0.18,straw_bale,0.141,pu_sandwich_panel,0.11,none,0.0,dense_concrete,0.18,2.95,0.0541,single_pane,180.0,1,0.5,0.52,0.89,6,600.0,electric,False,189338.0,SOURCED,1.1897,0.8405,33508885.0,51194.2,0.6777
SIM_000052,Daulat Beg Oldie,5065.0,35.4057,77.9297,5.0,3.5,2.8,17.5,49.0,192.8,pu_sandwich_panel,0.05,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.24,4.16,0.0874,single_pane,180.0,0,0.0,0.36,2.76,6,600.0,none,False,84482.0,SOURCED,2.4562,0.4071,9947584.4,53552.3,0.709
SIM_000053,Galwan,4300.0,34.75,78.25,4.3,4.9,2.8,21.07,59.0,203.6,pu_sandwich_panel,0.13,none,0.0,pu_sandwich_panel,0.13,none,0.0,stone_floor,0.12,2.78,0.054,triple_pane,180.0,1,0.5,0.66,0.27,1,100.0,unflued_combustion,True,190563.0,SOURCED,1.136,0.8803,5927587.8,59268.2,0.7846
SIM_000054,Hanle,4500.0,32.7784,78.9642,9.1,5.4,2.8,49.14,137.59,183.6,pu_sandwich_panel,0.07,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.21,1.08,0.0133,double_pane,180.0,1,0.5,0.47,0.17,3,300.0,unflued_combustion,True,269421.0,SOURCED,1.2002,0.8332,22678694.8,57728.3,0.7642
SIM_000055,Nyoma,4180.0,33.1958,78.6508,5.9,4.8,3.1,28.32,87.79,119.2,pu_sandwich_panel,0.13,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.14,7.33,0.1105,double_pane,180.0,1,0.5,0.27,2.04,1,100.0,none,False,209106.0,SOURCED,2.4308,0.4114,9831018.6,60207.9,0.7971
SIM_000056,Chushul,4350.0,33.5936,78.6543,8.4,5.6,2.7,47.04,127.01,179.9,rammed_earth,0.32,eps,0.046,concrete,0.17,none,0.0,stone_floor,0.11,4.43,0.0586,double_pane,180.0,1,0.5,0.23,1.59,2,200.0,electric,False,199341.0,SOURCED,2.5566,0.3911,70596239.5,58880.1,0.7795
SIM_000057,Rezang La,5000.0,33.425,78.8472,4.4,5.9,3.0,25.96,77.88,107.5,mud_brick,0.34,none,0.0,cgi_sheet,0.002,rockwool,0.036,dense_concrete,0.21,1.39,0.0225,triple_pane,180.0,1,0.5,0.34,0.65,7,700.0,unflued_combustion,True,139289.0,SOURCED,1.8538,0.5394,43553666.1,54019.9,0.7151
SIM_000058,Pangong,4250.0,33.7595,78.6674,6.8,4.5,3.2,30.6,97.92,168.2,mud_brick,0.36,eps,0.08,pu_sandwich_panel,0.09,none,0.0,stone_floor,0.21,3.04,0.042,triple_pane,180.0,0,0.0,0.2,4.24,11,1100.0,flued_stove,False,228968.0,SOURCED,1.112,0.8993,51392617.4,59658.3,0.7898
SIM_000059,Depsang,5330.0,35.3167,78.0167,8.0,4.9,2.9,39.2,113.68,191.1,stone_masonry,0.25,straw_bale,0.07,concrete,0.12,rockwool,0.084,dense_concrete,0.19,3.53,0.0472,triple_pane,180.0,1,0.5,0.74,4.27,14,1400.0,electric,False,247147.0,SOURCED,1.4043,0.7121,65078769.7,51679.8,0.6842
SIM_000060,Kargil,2676.0,34.5539,76.1349,7.4,3.5,2.5,25.9,64.75,185.9,pu_sandwich_panel,0.08,none,0.0,pu_sandwich_panel,0.11,none,0.0,dense_concrete,0.21,0.52,0.0095,triple_pane,180.0,1,0.5,0.7,3.38,6,600.0,flued_stove,False,168472.0,SOURCED,1.0404,0.9612,12974001.8,73045.7,0.967
SIM_000061,Leh,3500.0,34.1526,77.5771,5.9,3.6,3.2,21.24,67.97,127.2,mud_brick,0.38,eps,0.048,pu_sandwich_panel,0.11,none,0.0,dense_concrete,0.21,8.06,0.1326,triple_pane,180.0,0,0.0,0.69,2.52,1,100.0,none,False,216060.0,SOURCED,1.1249,0.889,40519466.8,65764.1,0.8706
SIM_000062,Dras,3280.0,34.4293,75.7533,5.0,3.1,3.1,15.5,48.05,201.8,rammed_earth,0.46,none,0.0,concrete,0.11,eps,0.088,stone_floor,0.13,3.72,0.0741,single_pane,180.0,0,0.0,0.5,3.03,1,100.0,flued_stove,False,95418.0,SOURCED,2.2122,0.452,46796361.7,67647.9,0.8956
SIM_000063,Siachen,5400.0,35.4212,77.1095,5.1,4.8,2.9,24.48,70.99,174.9,dense_concrete,0.18,none,0.0,cgi_sheet,0.002,rockwool,0.064,stone_floor,0.24,0.85,0.0148,double_pane,180.0,0,0.0,0.89,2.83,7,700.0,electric,False,153264.0,SOURCED,2.8889,0.3462,36199610.7,51194.2,0.6777
SIM_000064,Daulat Beg Oldie,5065.0,35.4057,77.9297,9.7,5.7,3.2,55.29,176.93,154.4,stone_masonry,0.23,rockwool,0.129,cgi_sheet,0.002,rockwool,0.03,dense_concrete,0.11,2.75,0.0279,triple_pane,180.0,1,0.5,0.51,4.47,14,1400.0,electric,False,293089.0,SOURCED,1.5465,0.6466,59518836.5,53552.3,0.709
SIM_000065,Galwan,4300.0,34.75,78.25,7.6,5.4,2.5,41.04,102.6,242.5,dense_concrete,0.22,straw_bale,0.056,concrete,0.19,rockwool,0.057,dense_concrete,0.11,0.81,0.0125,single_pane,180.0,1,0.5,0.23,3.89,16,1600.0,unflued_combustion,True,246627.0,SOURCED,1.7616,0.5677,61684703.2,59268.2,0.7846
SIM_000066,Hanle,4500.0,32.7784,78.9642,8.0,5.7,3.0,45.6,136.8,353.6,rammed_earth,0.29,eps,0.048,cgi_sheet,0.002,rockwool,0.096,dense_concrete,0.19,0.66,0.008,double_pane,180.0,0,0.0,0.57,2.91,15,1500.0,none,False,201312.0,SOURCED,1.3346,0.7493,63251095.1,57728.3,0.7642
SIM_000067,Nyoma,4180.0,33.1958,78.6508,8.9,4.7,2.6,41.83,108.76,76.9,rammed_earth,0.25,rockwool,0.111,pu_sandwich_panel,0.08,none,0.0,dense_concrete,0.25,4.52,0.0639,double_pane,180.0,1,0.5,0.45,3.57,11,1100.0,unflued_combustion,True,264626.0,SOURCED,1.1079,0.9026,54413048.3,60207.9,0.7971
SIM_000068,Chushul,4350.0,33.5936,78.6543,7.3,3.9,2.6,28.47,74.02,37.5,rammed_earth,0.47,eps,0.052,cgi_sheet,0.002,eps,0.115,stone_floor,0.12,1.42,0.0244,single_pane,180.0,1,0.5,0.73,2.86,2,200.0,flued_stove,False,139810.0,SOURCED,1.428,0.7003,55818745.0,58880.1,0.7795
SIM_000069,Rezang La,5000.0,33.425,78.8472,4.9,3.8,2.8,18.62,52.14,164.5,dense_concrete,0.27,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.24,4.54,0.0932,double_pane,180.0,0,0.0,0.47,1.74,6,600.0,electric,False,167773.0,SOURCED,3.7119,0.2694,37890917.7,54019.9,0.7151
SIM_000070,Pangong,4250.0,33.7595,78.6674,5.5,5.7,2.7,31.35,84.65,162.2,stone_masonry,0.25,rockwool,0.095,concrete,0.18,rockwool,0.144,stone_floor,0.18,3.93,0.065,triple_pane,180.0,0,0.0,0.81,2.73,10,1000.0,electric,False,248652.0,SOURCED,1.2511,0.7993,53937290.5,59658.3,0.7898
SIM_000071,Depsang,5330.0,35.3167,78.0167,8.9,5.0,3.1,44.5,137.95,334.2,mud_brick,0.24,straw_bale,0.122,concrete,0.16,none,0.0,stone_floor,0.13,5.57,0.0646,single_pane,180.0,1,0.5,0.34,0.33,13,1300.0,none,False,194736.0,SOURCED,2.3058,0.4337,59653406.8,51679.8,0.6842
SIM_000072,Kargil,2676.0,34.5539,76.1349,8.0,3.7,2.4,29.6,71.04,108.1,mud_brick,0.37,rockwool,0.078,pu_sandwich_panel,0.11,none,0.0,stone_floor,0.12,1.2,0.0214,double_pane,180.0,1,0.5,0.34,1.13,3,300.0,none,False,182229.0,SOURCED,1.3571,0.7369,38393682.5,73045.7,0.967
SIM_000073,Leh,3500.0,34.1526,77.5771,4.8,3.9,3.0,18.72,56.16,184.4,rammed_earth,0.47,none,0.0,pu_sandwich_panel,0.14,none,0.0,dense_concrete,0.12,1.2,0.023,single_pane,180.0,0,0.0,0.64,2.03,4,400.0,unflued_combustion,True,122846.0,SOURCED,2.0285,0.493,48508623.2,65764.1,0.8706
