simulation_id,heater_type,combustion_heater_present,ach,safety_threshold_ach,safety_status,safety_reason
SIM_000038,unflued_combustion,True,0.31,0.35,REFUSED,Ventilation 0.31 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000039,none,False,0.99,0.35,SAFE,
SIM_000040,flued_stove,False,0.5,0.35,SAFE,
SIM_000041,electric,False,2.5,0.35,SAFE,
SIM_000042,none,False,3.88,0.35,SAFE,
SIM_000043,none,False,0.94,0.35,SAFE,
SIM_000044,electric,False,1.35,0.35,SAFE,
SIM_000045,none,False,2.35,0.35,SAFE,
SIM_000046,unflued_combustion,True,3.34,0.35,SAFE,
SIM_000047,electric,False,2.45,0.35,SAFE,
SIM_000048,unflued_combustion,True,0.58,0.35,SAFE,
SIM_000049,none,False,2.73,0.35,SAFE,
SIM_000050,flued_stove,False,2.86,0.35,SAFE,
SIM_000051,electric,False,0.89,0.35,SAFE,
SIM_000052,none,False,2.76,0.35,SAFE,
SIM_000053,unflued_combustion,True,0.27,0.35,REFUSED,Ventilation 0.27 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000054,unflued_combustion,True,0.17,0.35,REFUSED,Ventilation 0.17 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000055,none,False,2.04,0.35,SAFE,
SIM_000056,electric,False,1.59,0.35,SAFE,
SIM_000057,unflued_combustion,True,0.65,0.35,SAFE,
SIM_000058,flued_stove,False,4.24,0.35,SAFE,
SIM_000059,electric,False,4.27,0.35,SAFE,
SIM_000060,flued_stove,False,3.38,0.35,SAFE,
SIM_000061,none,False,2.52,0.35,SAFE,
SIM_000062,flued_stove,False,3.03,0.35,SAFE,
SIM_000063,electric,False,2.83,0.35,SAFE,
SIM_000064,electric,False,4.47,0.35,SAFE,
SIM_000065,unflued_combustion,True,3.89,0.35,SAFE,
SIM_000066,none,False,2.91,0.35,SAFE,
SIM_000067,unflued_combustion,True,3.57,0.35,SAFE,
SIM_000068,flued_stove,False,2.86,0.35,SAFE,
SIM_000069,electric,False,1.74,0.35,SAFE,
SIM_000070,electric,False,2.73,0.35,SAFE,
SIM_000071,none,False,0.33,0.35,SAFE,
SIM_000072,none,False,1.13,0.35,SAFE,
SIM_000073,unflued_combustion,True,2.03,0.35,SAFE,
SIM_000074,flued_stove,False,4.1,0.35,SAFE,
SIM_000075,unflued_combustion,True,1.88,0.35,SAFE,
SIM_000076,flued_stove,False,3.36,0.35,SAFE,
SIM_000077,flued_stove,False,0.94,0.35,SAFE,
SIM_000078,none,False,4.18,0.35,SAFE,
SIM_000079,unflued_combustion,True,1.13,0.35,SAFE,
SIM_000080,electric,False,3.51,0.35,SAFE,
SIM_000081,flued_stove,False,3.84,0.35,SAFE,
SIM_000082,flued_stove,False,4.43,0.35,SAFE,
SIM_000083,electric,False,1.19,0.35,SAFE,
SIM_000084,electric,False,0.76,0.35,SAFE,
SIM_000085,electric,False,1.01,0.35,SAFE,
SIM_000086,none,False,1.79,0.35,SAFE,
SIM_000087,none,False,3.08,0.35,SAFE,
SIM_000088,none,False,1.12,0.35,SAFE,
SIM_000089,flued_stove,False,1.68,0.35,SAFE,
SIM_000090,electric,False,4.27,0.35,SAFE,
SIM_000091,unflued_combustion,True,1.88,0.35,SAFE,
SIM_000092,flued_stove,False,1.71,0.35,SAFE,
SIM_000093,unflued_combustion,True,0.59,0.35,SAFE,
SIM_000094,unflued_combustion,True,2.83,0.35,SAFE,
SIM_000095,unflued_combustion,True,3.84,0.35,SAFE,
SIM_000096,electric,False,0.11,0.35,SAFE,
SIM_000097,none,False,2.15,0.35,SAFE,
SIM_000098,none,False,2.36,0.35,SAFE,
SIM_000099,unflued_combustion,True,1.67,0.35,SAFE,
SIM_000100,electric,False,3.84,0.35,SAFE,
SIM_000101,unflued_combustion,True,2.15,0.35,SAFE,
SIM_000102,none,False,2.12,0.35,SAFE,
SIM_000103,none,False,3.28,0.35,SAFE,
SIM_000104,flued_stove,False,2.8,0.35,SAFE,
SIM_000105,electric,False,2.03,0.35,SAFE,
SIM_000106,unflued_combustion,True,0.21,0.35,REFUSED,Ventilation 0.21 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000107,electric,False,0.43,0.35,SAFE,
SIM_000108,unflued_combustion,True,1.61,0.35,SAFE,
SIM_000109,none,False,3.17,0.35,SAFE,
SIM_000110,electric,False,1.73,0.35,SAFE,
SIM_000111,electric,False,0.37,0.35,SAFE,
SIM_000112,none,False,3.81,0.35,SAFE,
SIM_000113,flued_stove,False,1.52,0.35,SAFE,
SIM_000114,flued_stove,False,3.97,0.35,SAFE,
SIM_000115,flued_stove,False,1.23,0.35,SAFE,
SIM_000116,electric,False,4.21,0.35,SAFE,
SIM_000117,flued_stove,False,1.51,0.35,SAFE,
SIM_000118,electric,False,4.38,0.35,SAFE,
SIM_000119,electric,False,1.16,0.35,SAFE,
SIM_000120,flued_stove,False,1.62,0.35,SAFE,
SIM_000121,flued_stove,False,2.49,0.35,SAFE,
SIM_000122,unflued_combustion,True,3.43,0.35,SAFE,
SIM_000123,electric,False,0.41,0.35,SAFE,
SIM_000124,none,False,2.09,0.35,SAFE,
SIM_000125,unflued_combustion,True,2.47,0.35,SAFE,
SIM_000126,electric,False,2.17,0.35,SAFE,
SIM_000127,flued_stove,False,1.58,0.35,SAFE,
SIM_000128,flued_stove,False,3.64,0.35,SAFE,
SIM_000129,electric,False,1.3,0.35,SAFE,
SIM_000130,none,False,0.21,0.35,SAFE,
SIM_000131,electric,False,0.94,0.35,SAFE,
SIM_000132,none,False,0.37,0.35,SAFE,
SIM_000133,none,False,3.46,0.35,SAFE,
SIM_000134,electric,False,4.23,0.35,SAFE,
SIM_000135,unflued_combustion,True,4.14,0.35,SAFE,
SIM_000136,electric,False,2.92,0.35,SAFE,
SIM_000137,none,False,4.43,0.35,SAFE,
SIM_000138,none,False,1.04,0.35,SAFE,
SIM_000139,flued_stove,False,3.84,0.35,SAFE,
SIM_000140,unflued_combustion,True,3.92,0.35,SAFE,
SIM_000141,unflued_combustion,True,0.85,0.35,SAFE,
SIM_000142,electric,False,1.29,0.35,SAFE,
SIM_000143,unflued_combustion,True,0.53,0.35,SAFE,
SIM_000144,flued_stove,False,3.27,0.35,SAFE,
SIM_000145,electric,False,4.46,0.35,SAFE,
SIM_000146,flued_stove,False,2.51,0.35,SAFE,
SIM_000147,unflued_combustion,True,0.43,0.35,SAFE,
SIM_000148,unflued_combustion,True,3.0,0.35,SAFE,
SIM_000149,flued_stove,False,1.94,0.35,SAFE,
SIM_000150,flued_stove,False,0.39,0.35,SAFE,
SIM_000151,electric,False,1.99,0.35,SAFE,
SIM_000152,none,False,4.08,0.35,SAFE,
SIM_000153,unflued_combustion,True,2.17,0.35,SAFE,
SIM_000154,electric,False,2.3,0.35,SAFE,
SIM_000155,none,False,3.99,0.35,SAFE,
SIM_000156,electric,False,3.56,0.35,SAFE,
SIM_000157,electric,False,2.55,0.35,SAFE,
SIM_000158,electric,False,1.29,0.35,SAFE,
SIM_000159,flued_stove,False,1.44,0.35,SAFE,
SIM_000160,electric,False,3.58,0.35,SAFE,
SIM_000161,electric,False,1.94,0.35,SAFE,
SIM_000162,unflued_combustion,True,2.06,0.35,SAFE,
SIM_000163,none,False,3.23,0.35,SAFE,
SIM_000164,electric,False,0.44,0.35,SAFE,
SIM_000165,flued_stove,False,1.86,0.35,SAFE,
SIM_000166,none,False,1.22,0.35,SAFE,
SIM_000167,flued_stove,False,3.97,0.35,SAFE,
SIM_000168,electric,False,0.27,0.35,SAFE,
SIM_000169,flued_stove,False,2.02,0.35,SAFE,
SIM_000170,electric,False,1.09,0.35,SAFE,
SIM_000171,flued_stove,False,2.82,0.35,SAFE,
SIM_000172,flued_stove,False,2.76,0.35,SAFE,
SIM_000173,unflued_combustion,True,1.98,0.35,SAFE,
SIM_000174,flued_stove,False,2.58,0.35,SAFE,
SIM_000175,unflued_combustion,True,2.44,0.35,SAFE,
SIM_000176,electric,False,4.19,0.35,SAFE,
SIM_000177,flued_stove,False,3.77,0.35,SAFE,
SIM_000178,flued_stove,False,1.2,0.35,SAFE,
SIM_000179,flued_stove,False,3.61,0.35,SAFE,
SIM_000180,electric,False,1.24,0.35,SAFE,
SIM_000181,flued_stove,False,2.87,0.35,SAFE,
SIM_000182,flued_stove,False,2.86,0.35,SAFE,
SIM_000183,electric,False,0.55,0.35,SAFE,
SIM_000184,electric,False,1.95,0.35,SAFE,
SIM_000185,flued_stove,False,0.15,0.35,SAFE,
SIM_000186,none,False,3.4,0.35,SAFE,
SIM_000187,flued_stove,False,1.04,0.35,SAFE,
SIM_000188,none,False,4.25,0.35,SAFE,
SIM_000189,flued_stove,False,3.95,0.35,SAFE,
SIM_000190,unflued_combustion,True,0.47,0.35,SAFE,
SIM_000191,none,False,3.81,0.35,SAFE,
SIM_000192,unflued_combustion,True,1.3,0.35,SAFE,
SIM_000193,flued_stove,False,2.74,0.35,SAFE,
SIM_000194,electric,False,0.88,0.35,SAFE,
SIM_000195,unflued_combustion,True,0.35,0.35,SAFE,
SIM_000196,electric,False,3.46,0.35,SAFE,
SIM_000197,unflued_combustion,True,3.25,0.35,SAFE,
SIM_000198,electric,False,1.4,0.35,SAFE,
SIM_000199,none,False,1.76,0.35,SAFE,
SIM_000200,none,False,1.2,0.35,SAFE,
SIM_000201,flued_stove,False,2.72,0.35,SAFE,
SIM_000202,none,False,0.39,0.35,SAFE,
SIM_000203,none,False,1.82,0.35,SAFE,
SIM_000204,electric,False,2.54,0.35,SAFE,
SIM_000205,flued_stove,False,4.17,0.35,SAFE,
SIM_000206,unflued_combustion,True,0.12,0.35,REFUSED,Ventilation 0.12 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000207,flued_stove,False,2.54,0.35,SAFE,
SIM_000208,electric,False,3.13,0.35,SAFE,
SIM_000209,flued_stove,False,4.08,0.35,SAFE,
SIM_000210,electric,False,2.44,0.35,SAFE,
SIM_000211,flued_stove,False,2.16,0.35,SAFE,
SIM_000212,unflued_combustion,True,3.99,0.35,SAFE,
SIM_000213,flued_stove,False,3.2,0.35,SAFE,
SIM_000214,unflued_combustion,True,3.4,0.35,SAFE,
SIM_000215,unflued_combustion,True,4.01,0.35,SAFE,
SIM_000216,electric,False,1.96,0.35,SAFE,
SIM_000217,unflued_combustion,True,0.47,0.35,SAFE,
SIM_000218,flued_stove,False,2.67,0.35,SAFE,
SIM_000219,none,False,2.78,0.35,SAFE,
SIM_000220,electric,False,3.72,0.35,SAFE,
SIM_000221,flued_stove,False,4.4,0.35,SAFE,
SIM_000222,electric,False,3.62,0.35,SAFE,
SIM_000223,electric,False,1.39,0.35,SAFE,
SIM_000224,none,False,1.89,0.35,SAFE,
SIM_000225,flued_stove,False,0.93,0.35,SAFE,
SIM_000226,none,False,4.4,0.35,SAFE,
SIM_000227,electric,False,1.63,0.35,SAFE,
SIM_000228,unflued_combustion,True,4.44,0.35,SAFE,
SIM_000229,none,False,1.69,0.35,SAFE,
SIM_000230,flued_stove,False,0.7,0.35,SAFE,
SIM_000231,unflued_combustion,True,3.49,0.35,SAFE,
SIM_000232,flued_stove,False,1.6,0.35,SAFE,
SIM_000233,flued_stove,False,2.58,0.35,SAFE,
SIM_000234,none,False,1.26,0.35,SAFE,
SIM_000235,none,False,0.85,0.35,SAFE,
SIM_000236,none,False,2.35,0.35,SAFE,
SIM_000237,none,False,1.3,0.35,SAFE,
SIM_000238,flued_stove,False,1.5,0.35,SAFE,
SIM_000239,unflued_combustion,True,0.86,0.35,SAFE,
SIM_000240,none,False,3.75,0.35,SAFE,
SIM_000241,electric,False,1.75,0.35,SAFE,
SIM_000242,unflued_combustion,True,3.36,0.35,SAFE,
SIM_000243,unflued_combustion,True,3.89,0.35,SAFE,
SIM_000244,unflued_combustion,True,4.42,0.35,SAFE,
SIM_000245,none,False,2.59,0.35,SAFE,
SIM_000246,unflued_combustion,True,4.4,0.35,SAFE,
SIM_000247,unflued_combustion,True,4.08,0.35,SAFE,
SIM_000248,electric,False,2.5,0.35,SAFE,
SIM_000249,unflued_combustion,True,3.61,0.35,SAFE,
SIM_000250,electric,False,1.21,0.35,SAFE,
SIM_000251,electric,False,0.62,0.35,SAFE,
SIM_000252,unflued_combustion,True,3.89,0.35,SAFE,
SIM_000253,unflued_combustion,True,0.38,0.35,SAFE,
SIM_000254,electric,False,0.95,0.35,SAFE,
SIM_000255,none,False,0.94,0.35,SAFE,
SIM_000256,none,False,3.71,0.35,SAFE,
SIM_000257,unflued_combustion,True,0.34,0.35,REFUSED,Ventilation 0.34 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000258,none,False,0.76,0.35,SAFE,
SIM_000259,none,False,2.21,0.35,SAFE,
SIM_000260,electric,False,2.64,0.35,SAFE,
SIM_000261,electric,False,4.24,0.35,SAFE,
SIM_000262,none,False,1.85,0.35,SAFE,
SIM_000263,none,False,2.75,0.35,SAFE,
SIM_000264,unflued_combustion,True,0.33,0.35,REFUSED,Ventilation 0.33 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000265,electric,False,3.03,0.35,SAFE,
SIM_000266,none,False,3.69,0.35,SAFE,
SIM_000267,unflued_combustion,True,2.86,0.35,SAFE,
SIM_000268,unflued_combustion,True,1.64,0.35,SAFE,
SIM_000269,none,False,3.55,0.35,SAFE,
SIM_000270,none,False,1.69,0.35,SAFE,
SIM_000271,flued_stove,False,4.37,0.35,SAFE,
SIM_000272,electric,False,3.65,0.35,SAFE,
SIM_000273,none,False,1.91,0.35,SAFE,
SIM_000274,unflued_combustion,True,3.4,0.35,SAFE,
SIM_000275,unflued_combustion,True,1.95,0.35,SAFE,
SIM_000276,none,False,0.63,0.35,SAFE,
SIM_000277,none,False,0.87,0.35,SAFE,
SIM_000278,none,False,3.09,0.35,SAFE,
SIM_000279,unflued_combustion,True,1.03,0.35,SAFE,
SIM_000280,unflued_combustion,True,0.9,0.35,SAFE,
SIM_000281,flued_stove,False,2.18,0.35,SAFE,
SIM_000282,electric,False,3.45,0.35,SAFE,
SIM_000283,none,False,1.28,0.35,SAFE,
SIM_000284,unflued_combustion,True,3.05,0.35,SAFE,
SIM_000285,flued_stove,False,3.34,0.35,SAFE,
SIM_000286,unflued_combustion,True,3.8,0.35,SAFE,
SIM_000287,flued_stove,False,1.99,0.35,SAFE,
SIM_000288,flued_stove,False,3.56,0.35,SAFE,
SIM_000289,flued_stove,False,2.89,0.35,SAFE,
SIM_000290,electric,False,2.29,0.35,SAFE,
SIM_000291,flued_stove,False,1.55,0.35,SAFE,
SIM_000292,unflued_combustion,True,4.03,0.35,SAFE,
SIM_000293,electric,False,2.24,0.35,SAFE,
SIM_000294,flued_stove,False,3.29,0.35,SAFE,
SIM_000295,unflued_combustion,True,4.15,0.35,SAFE,
SIM_000296,unflued_combustion,True,1.27,0.35,SAFE,
SIM_000297,none,False,0.75,0.35,SAFE,
SIM_000298,flued_stove,False,3.29,0.35,SAFE,
SIM_000299,electric,False,4.04,0.35,SAFE,
SIM_000300,electric,False,2.25,0.35,SAFE,
SIM_000301,unflued_combustion,True,1.11,0.35,SAFE,
SIM_000302,unflued_combustion,True,3.93,0.35,SAFE,
SIM_000303,none,False,3.15,0.35,SAFE,
SIM_000304,electric,False,0.35,0.35,SAFE,
SIM_000305,flued_stove,False,0.31,0.35,SAFE,
SIM_000306,electric,False,0.69,0.35,SAFE,
SIM_000307,none,False,1.15,0.35,SAFE,
SIM_000308,unflued_combustion,True,0.92,0.35,SAFE,
SIM_000309,flued_stove,False,1.05,0.35,SAFE,
SIM_000310,none,False,1.8,0.35,SAFE,
SIM_000311,unflued_combustion,True,2.39,0.35,SAFE,
SIM_000312,unflued_combustion,True,1.69,0.35,SAFE,
SIM_000313,none,False,0.16,0.35,SAFE,
SIM_000314,unflued_combustion,True,0.57,0.35,SAFE,
SIM_000315,none,False,0.75,0.35,SAFE,
SIM_000316,none,False,3.19,0.35,SAFE,
SIM_000317,flued_stove,False,3.86,0.35,SAFE,
SIM_000318,none,False,3.86,0.35,SAFE,
SIM_000319,unflued_combustion,True,4.31,0.35,SAFE,
SIM_000320,electric,False,2.69,0.35,SAFE,
SIM_000321,unflued_combustion,True,2.3,0.35,SAFE,
SIM_000322,none,False,0.33,0.35,SAFE,
SIM_000323,electric,False,2.84,0.35,SAFE,
SIM_000324,unflued_combustion,True,4.19,0.35,SAFE,
SIM_000325,unflued_combustion,True,1.12,0.35,SAFE,
SIM_000326,flued_stove,False,2.42,0.35,SAFE,
SIM_000327,flued_stove,False,0.4,0.35,SAFE,
SIM_000328,unflued_combustion,True,2.77,0.35,SAFE,
SIM_000329,none,False,1.33,0.35,SAFE,
SIM_000330,none,False,0.39,0.35,SAFE,
SIM_000331,unflued_combustion,True,3.88,0.35,SAFE,
SIM_000332,unflued_combustion,True,1.61,0.35,SAFE,
SIM_000333,electric,False,3.82,0.35,SAFE,
SIM_000334,flued_stove,False,0.97,0.35,SAFE,
SIM_000335,electric,False,3.24,0.35,SAFE,
SIM_000336,flued_stove,False,2.98,0.35,SAFE,
SIM_000337,unflued_combustion,True,0.37,0.35,SAFE,
SIM_000338,none,False,2.11,0.35,SAFE,
SIM_000339,flued_stove,False,1.52,0.35,SAFE,
SIM_000340,flued_stove,False,1.4,0.35,SAFE,
SIM_000341,flued_stove,False,2.85,0.35,SAFE,
SIM_000342,electric,False,2.79,0.35,SAFE,
SIM_000343,flued_stove,False,4.35,0.35,SAFE,
SIM_000344,unflued_combustion,True,2.02,0.35,SAFE,
SIM_000345,unflued_combustion,True,4.27,0.35,SAFE,
SIM_000346,unflued_combustion,True,3.98,0.35,SAFE,
SIM_000347,none,False,3.84,0.35,SAFE,
SIM_000348,electric,False,1.32,0.35,SAFE,
SIM_000349,electric,False,3.08,0.35,SAFE,
SIM_000350,none,False,1.57,0.35,SAFE,
SIM_000351,none,False,1.63,0.35,SAFE,
SIM_000352,unflued_combustion,True,4.08,0.35,SAFE,
SIM_000353,none,False,0.2,0.35,SAFE,
SIM_000354,unflued_combustion,True,3.88,0.35,SAFE,
SIM_000355,flued_stove,False,0.33,0.35,SAFE,
SIM_000356,none,False,0.62,0.35,SAFE,
SIM_000357,electric,False,3.58,0.35,SAFE,
SIM_000358,electric,False,0.2,0.35,SAFE,
SIM_000359,electric,False,0.36,0.35,SAFE,
SIM_000360,electric,False,3.57,0.35,SAFE,
SIM_000361,electric,False,2.45,0.35,SAFE,
SIM_000362,unflued_combustion,True,2.8,0.35,SAFE,
SIM_000363,electric,False,2.74,0.35,SAFE,
SIM_000364,electric,False,3.18,0.35,SAFE,
SIM_000365,unflued_combustion,True,0.15,0.35,REFUSED,Ventilation 0.15 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000366,none,False,3.12,0.35,SAFE,
SIM_000367,unflued_combustion,True,3.22,0.35,SAFE,
SIM_000368,none,False,0.91,0.35,SAFE,
SIM_000369,flued_stove,False,2.37,0.35,SAFE,
SIM_000370,none,False,4.09,0.35,SAFE,
SIM_000371,none,False,1.95,0.35,SAFE,
SIM_000372,unflued_combustion,True,2.08,0.35,SAFE,
SIM_000373,flued_stove,False,0.41,0.35,SAFE,
SIM_000374,electric,False,2.25,0.35,SAFE,
SIM_000375,unflued_combustion,True,1.0,0.35,SAFE,
SIM_000376,flued_stove,False,3.53,0.35,SAFE,
SIM_000377,unflued_combustion,True,4.15,0.35,SAFE,
SIM_000378,unflued_combustion,True,1.78,0.35,SAFE,
SIM_000379,electric,False,2.65,0.35,SAFE,
SIM_000380,none,False,1.28,0.35,SAFE,
SIM_000381,flued_stove,False,4.07,0.35,SAFE,
SIM_000382,electric,False,1.99,0.35,SAFE,
SIM_000383,flued_stove,False,2.32,0.35,SAFE,
SIM_000384,unflued_combustion,True,2.73,0.35,SAFE,
SIM_000385,flued_stove,False,2.04,0.35,SAFE,
SIM_000386,flued_stove,False,1.92,0.35,SAFE,
SIM_000387,unflued_combustion,True,1.61,0.35,SAFE,
SIM_000388,unflued_combustion,True,1.31,0.35,SAFE,
SIM_000389,electric,False,4.29,0.35,SAFE,
SIM_000390,flued_stove,False,2.12,0.35,SAFE,
SIM_000391,flued_stove,False,0.24,0.35,SAFE,
SIM_000392,flued_stove,False,1.21,0.35,SAFE,
SIM_000393,electric,False,4.43,0.35,SAFE,
SIM_000394,flued_stove,False,4.25,0.35,SAFE,
SIM_000395,unflued_combustion,True,3.78,0.35,SAFE,
SIM_000396,flued_stove,False,2.83,0.35,SAFE,
SIM_000397,flued_stove,False,0.64,0.35,SAFE,
SIM_000398,flued_stove,False,3.12,0.35,SAFE,
SIM_000399,none,False,0.96,0.35,SAFE,
SIM_000400,flued_stove,False,0.37,0.35,SAFE,
SIM_000401,unflued_combustion,True,0.84,0.35,SAFE,
SIM_000402,unflued_combustion,True,3.64,0.35,SAFE,
SIM_000403,unflued_combustion,True,2.93,0.35,SAFE,
SIM_000404,none,False,3.15,0.35,SAFE,
SIM_000405,flued_stove,False,1.46,0.35,SAFE,
SIM_000406,flued_stove,False,2.83,0.35,SAFE,
SIM_000407,electric,False,0.54,0.35,SAFE,
SIM_000408,none,False,3.88,0.35,SAFE,
SIM_000409,electric,False,0.28,0.35,SAFE,
SIM_000410,unflued_combustion,True,0.28,0.35,REFUSED,Ventilation 0.28 ACH is below the safe minimum (0.35 ACH) for an unflued combustion heater. Carbon monoxide asphyxiation risk. Increase ventilation to at least 0.35 ACH or specify a flued stove or electric heater.
SIM_000411,none,False,2.54,0.35,SAFE,
SIM_000412,flued_stove,False,0.38,0.35,SAFE,
SIM_000413,unflued_combustion,True,2.53,0.35,SAFE,
SIM_000414,unflued_combustion,True,0.8,0.35,SAFE,
SIM_000415,none,False,0.34,0.35,SAFE,
SIM_000416,unflued_combustion,True,4.07,0.35,SAFE,
SIM_000417,unflued_combustion,True,2.89,0.35,SAFE,
SIM_000418,electric,False,1.19,0.35,SAFE,
SIM_000419,unflued_combustion,True,2.17,0.35,SAFE,
SIM_000420,unflued_combustion,True,0.53,0.35,SAFE,
SIM_000421,none,False,1.32,0.35,SAFE,
SIM_000422,none,False,1.66,0.35,SAFE,
SIM_000423,electric,False,1.55,0.35,SAFE,
SIM_000424,electric,False,1.29,0.35,SAFE,
SIM_000425,electric,False,2.58,0.35,SAFE,
SIM_000426,electric,False,0.76,0.35,SAFE,
SIM_000427,none,False,0.48,0.35,SAFE,
SIM_000428,electric,False,4.29,0.35,SAFE,
SIM_000429,flued_stove,False,3.78,0.35,SAFE,
SIM_000430,electric,False,0.28,0.35,SAFE,
SIM_000431,none,False,2.81,0.35,SAFE,
SIM_000432,none,False,3.77,0.35,SAFE,
SIM_000433,electric,False,0.8,0.35,SAFE,
SIM_000434,none,False,3.63,0.35,SAFE,
SIM_000435,electric,False,1.12,0.35,SAFE,
SIM_000436,none,False,3.02,0.35,SAFE,
SIM_000437,unflued_combustion,True,1.19,0.35,SAFE,
SIM_000438,none,False,2.68,0.35,SAFE,
SIM_000439,unflued_combustion,True,1.8,0.35,SAFE,
SIM_000440,unflued_combustion,True,3.34,0.35,SAFE,
SIM_000441,electric,False,1.97,0.35,SAFE,
SIM_000442,electric,False,2.28,0.35,SAFE,
SIM_000443,electric,False,4.08,0.35,SAFE,
SIM_000444,electric,False,3.44,0.35,SAFE,
SIM_000445,unflued_combustion,True,2.56,0.35,SAFE,
SIM_000446,unflued_combustion,True,2.49,0.35,SAFE,
SIM_000447,electric,False,0.1,0.35,SAFE,
SIM_000448,flued_stove,False,3.52,0.35,SAFE,
SIM_000449,electric,False,3.25,0.35,SAFE,
SIM_000450,flued_stove,False,3.54,0.35,SAFE,
SIM_000451,none,False,0.31,0.35,SAFE,
SIM_000452,none,False,0.72,0.35,SAFE,
SIM_000453,electric,False,1.82,0.35,SAFE,
SIM_000454,flued_stove,False,1.06,0.35,SAFE,
SIM_000455,electric,False,0.8,0.35,SAFE,
SIM_000456,unflued_combustion,True,2.76,0.35,SAFE,
SIM_000457,none,False,1.64,0.35,SAFE,
SIM_000458,flued_stove,False,0.56,0.35,SAFE,
SIM_000459,none,False,0.76,0.35,SAFE,
SIM_000460,electric,False,4.19,0.35,SAFE,
SIM_000461,electric,False,0.3,0.35,SAFE,
SIM_000462,none,False,2.15,0.35,SAFE,
SIM_000463,flued_stove,False,2.76,0.35,SAFE,
SIM_000464,electric,False,2.76,0.35,SAFE,
SIM_000465,electric,False,4.19,0.35,SAFE,
SIM_000466,flued_stove,False,4.17,0.35,SAFE,
SIM_000467,flued_stove,False,1.67,0.35,SAFE,
SIM_000468,flued_stove,False,1.41,0.35,SAFE,
SIM_000469,flued_stove,False,3.73,0.35,SAFE,
SIM_000470,unflued_combustion,True,2.56,0.35,SAFE,
SIM_000471,electric,False,4.13,0.35,SAFE,
